ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
2011,British Championship,1953-04-18,England,2,2,Scotland,,TRUE
2012,Friendly,1953-04-18,Singapore,3,1,South Korea,,TRUE
2013,Friendly,1953-04-19,Netherlands,0,2,Belgium,,TRUE
2014,Friendly,1953-04-19,Singapore,1,3,South Korea,,TRUE
2015,Friendly,1953-04-24,Singapore,0,0,South Korea,,TRUE
2016,Friendly,1953-04-26,Silesia,2,3,Poland,,TRUE
2017,Friendly,1953-04-30,Indonesia,1,3,South Korea,,FALSE
2018,Friendly,1953-05-10,Poland,1,1,Czechoslovakia,,TRUE
2019,Friendly,1953-05-14,Argentina,3,1,England,,TRUE
2020,Friendly,1953-05-14,Belgium,1,3,Yugoslavia,,TRUE
2021,Friendly,1953-05-14,France,6,1,Wales,,TRUE
2022,Friendly,1953-05-17,Argentina,0,0,England,,TRUE
2023,Friendly,1953-05-21,Yugoslavia,5,2,Wales,,TRUE
2024,Friendly,1953-05-24,Chile,1,2,England,,TRUE
2025,FIFA World Cup qualification,1953-05-25,Finland,2,4,Belgium,,TRUE
2026,Friendly,1953-05-25,Switzerland,1,2,Turkey,,TRUE
2027,FIFA World Cup qualification,1953-05-28,Sweden,2,3,Belgium,,TRUE
2028,Friendly,1953-05-31,Uruguay,2,1,England,,TRUE
2029,Friendly,1953-06-08,United States,3,6,England,,TRUE
2030,Friendly,1953-06-11,Sweden,1,0,France,,TRUE
2031,Nordic Championship,1953-06-21,Denmark,1,3,Sweden,,TRUE
2032,Friendly,1953-06-27,Switzerland,1,4,Denmark,,TRUE
2033,Friendly,1953-07-05,Argentina,1,0,Spain,,TRUE
2034,Friendly,1953-07-12,Chile,1,2,Spain,,TRUE
2035,FIFA World Cup qualification,1953-07-19,Mexico,8,0,Haiti,,TRUE
2036,Friendly,1953-08-09,Denmark,4,0,Iceland,,TRUE
2037,Friendly,1953-08-09,Catalonia,0,6,Spain,,TRUE
2038,FIFA World Cup qualification,1953-08-19,Norway,1,1,Germany,,TRUE
2039,Friendly,1953-09-13,Bulgaria,2,2,Poland,,TRUE
2040,Nordic Championship,1953-09-13,Norway,0,1,Denmark,,TRUE
2041,Friendly,1953-09-13,Silesia,3,3,Poland,,TRUE
2042,International Cup,1953-09-20,Czechoslovakia,5,0,Switzerland,,TRUE
2043,FIFA World Cup qualification,1953-09-20,Luxembourg,1,6,France,,TRUE
2044,FIFA World Cup qualification,1953-09-23,Belgium,2,2,Finland,,TRUE
2045,FIFA World Cup qualification,1953-09-26,Austria,9,1,Portugal,,TRUE
2046,Friendly,1953-09-27,Norway,4,0,Netherlands,,TRUE
2047,Nordic Championship,1953-10-04,Denmark,6,1,Finland,,TRUE
2048,FIFA World Cup qualification,1953-10-04,Republic of Ireland,3,5,France,,TRUE
2049,FIFA World Cup qualification,1953-10-08,Belgium,2,0,Sweden,,TRUE
2050,FIFA World Cup qualification,1953-10-10,Wales,1,4,England,,TRUE
2051,FIFA World Cup qualification,1953-10-11,Germany,3,0,Saarland,,TRUE
2052,Friendly,1953-10-11,Ghana,1,0,Nigeria,,TRUE
2053,Friendly,1953-10-18,Yugoslavia,3,1,France,,TRUE
2054,Friendly,1953-10-25,Netherlands,1,0,Belgium,,TRUE
2055,FIFA World Cup qualification,1953-11-04,Scotland,3,3,Wales,,TRUE
2056,Friendly,1953-11-08,Spain,2,2,Sweden,,TRUE
2057,FIFA World Cup qualification,1953-11-11,England,3,1,Northern Ireland,,TRUE
2058,Friendly,1953-11-11,France,2,4,Switzerland,,TRUE
2059,FIFA World Cup qualification,1953-11-22,Germany,5,1,Norway,,TRUE
2060,Friendly,1953-11-22,Portugal,3,1,South Africa,,TRUE
2061,Friendly,1953-11-22,Switzerland,2,2,Belgium,,TRUE
2062,Friendly,1953-11-25,England,3,6,Hungary,,TRUE
2063,FIFA World Cup qualification,1953-11-25,France,1,0,Republic of Ireland,,TRUE
2064,Friendly,1953-11-29,Albania,2,0,Poland,,TRUE
2065,FIFA World Cup qualification,1953-11-29,Portugal,0,0,Austria,,TRUE
2066,FIFA World Cup qualification,1953-12-17,France,8,0,Luxembourg,,TRUE
2067,FIFA World Cup qualification,1953-12-27,Haiti,0,4,Mexico,,TRUE
2068,FIFA World Cup qualification,1954-01-06,Spain,4,1,Turkey,,TRUE
2069,FIFA World Cup qualification,1954-01-10,Mexico,4,0,United States,,TRUE
2070,FIFA World Cup qualification,1954-01-14,Mexico,3,1,United States,,TRUE
2071,FIFA World Cup qualification,1954-02-28,Chile,0,2,Brazil,,TRUE
2072,FIFA World Cup qualification,1954-03-07,Japan,1,5,South Korea,,TRUE
2073,FIFA World Cup qualification,1954-03-07,Paraguay,0,1,Brazil,,TRUE
2074,Friendly,1954-03-14,Belgium,0,0,Portugal,,TRUE
2075,FIFA World Cup qualification,1954-03-14,Brazil,1,0,Chile,,TRUE
2076,FIFA World Cup qualification,1954-03-14,Japan,2,2,South Korea,,TRUE
2077,FIFA World Cup qualification,1954-03-14,Turkey,1,0,Spain,,TRUE
2078,FIFA World Cup qualification,1954-03-17,Turkey,2,2,Spain,,FALSE
2079,FIFA World Cup qualification,1954-03-21,Brazil,4,1,Paraguay,,TRUE
2080,FIFA World Cup qualification,1954-03-28,Saarland,1,3,Germany,,TRUE
2081,FIFA World Cup qualification,1954-03-31,Wales,1,2,Northern Ireland,,TRUE
2082,FIFA World Cup qualification,1954-04-03,Haiti,2,3,United States,,TRUE
2083,FIFA World Cup qualification,1954-04-03,Scotland,2,4,England,,TRUE
2084,Friendly,1954-04-04,Belgium,4,0,Netherlands,,TRUE
2085,FIFA World Cup qualification,1954-04-04,Haiti,0,3,United States,,TRUE
2086,Friendly,1954-04-10,Uruguay,1,4,Paraguay,,TRUE
2087,Friendly,1954-04-11,France,1,3,Italy,,TRUE
2088,Friendly,1954-04-18,Paraguay,1,1,Uruguay,,TRUE
2089,Friendly,1954-04-25,Switzerland,3,5,Germany,,TRUE
2090,Friendly,1954-05-09,Austria,2,0,Wales,,TRUE
2091,Friendly,1954-05-09,Yugoslavia,0,2,Belgium,,TRUE
2092,Friendly,1954-05-16,Yugoslavia,1,0,England,,TRUE
2093,Friendly,1954-05-19,Sweden,6,1,Netherlands,,TRUE
2094,Friendly,1954-05-23,Hungary,7,1,England,,TRUE
2095,Friendly,1954-05-23,Switzerland,3,3,Uruguay,,TRUE
2096,Friendly,1954-05-30,Belgium,3,3,France,,TRUE
2097,Friendly,1954-05-30,Switzerland,3,1,Netherlands,,TRUE
2098,Friendly,1954-06-01,Ghana,2,0,Sierra Leone,,TRUE
2099,Friendly,1954-06-04,Denmark,1,2,Norway,,FALSE
2100,Friendly,1954-06-05,Saarland,1,7,Uruguay,,TRUE
2101,Nordic Championship,1954-06-13,Finland,2,2,Denmark,,TRUE
2102,Friendly,1954-07-25,Curaçao,2,0,Netherlands,,TRUE
2103,Friendly,1954-07-27,Aruba,2,2,Netherlands,,TRUE
2104,Friendly,1954-07-29,Curaçao,2,1,Netherlands,,TRUE
2105,Friendly,1954-08-01,Suriname,3,4,Netherlands,,TRUE
2106,Friendly,1954-08-05,Suriname,0,2,Netherlands,,TRUE
2107,Friendly,1954-08-08,Poland,2,2,Bulgaria,,TRUE
2108,Friendly,1954-08-14,Australia,1,2,New Zealand,,TRUE
2109,Friendly,1954-08-28,Australia,4,1,New Zealand,,TRUE
2110,Friendly,1954-09-04,Australia,4,1,New Zealand,,TRUE
2111,Friendly,1954-09-19,Denmark,1,1,Switzerland,,TRUE
2112,Friendly,1954-09-22,Wales,1,3,Yugoslavia,,TRUE
2113,Friendly,1954-09-26,Belgium,2,0,Germany,,TRUE
2114,Friendly,1954-09-26,German DR,0,1,Poland,,TRUE
2115,British Championship,1954-10-02,Northern Ireland,0,2,England,,TRUE
2116,Friendly,1954-10-10,Hungary,3,0,Switzerland,,TRUE
2117,Nordic Championship,1954-10-10,Sweden,5,2,Denmark,,TRUE
2118,Friendly,1954-10-16,Germany,1,3,France,,TRUE
2119,British Championship,1954-10-16,Wales,0,1,Scotland,,TRUE
2120,Friendly,1954-10-24,Belgium,4,3,Netherlands,,TRUE
2121,Friendly,1954-10-30,Nigeria,3,0,Ghana,,TRUE
2122,Nordic Championship,1954-10-31,Denmark,0,1,Norway,,TRUE
2123,British Championship,1954-11-10,England,3,2,Wales,,TRUE
2124,Friendly,1954-11-11,France,2,2,Belgium,,TRUE
2125,Friendly,1954-11-28,Portugal,1,3,Argentina,,TRUE
2126,Friendly,1954-12-01,England,3,1,Germany,,TRUE
2127,Friendly,1954-12-05,Italy,2,0,Argentina,,TRUE
2128,Friendly,1954-12-19,Portugal,0,3,Germany,,TRUE
2129,Friendly,1955-01-11,Myanmar,0,1,Japan,,TRUE
2130,Friendly,1955-01-16,Italy,1,0,Belgium,,TRUE
2131,Copa America,1955-02-27,Chile,7,1,Ecuador,,TRUE
2132,Copa America,1955-03-02,Argentina,5,3,Paraguay,,FALSE
2133,Copa America,1955-03-09,Argentina,4,0,Ecuador,,FALSE
2134,Copa America,1955-03-09,Paraguay,1,3,Uruguay,,FALSE
2135,Copa America,1955-03-13,Chile,2,2,Uruguay,,TRUE
2136,Copa America,1955-03-13,Ecuador,2,4,Peru,,FALSE
2137,Friendly,1955-03-13,Netherlands,1,1,Denmark,,TRUE
2138,Copa America,1955-03-16,Ecuador,0,2,Paraguay,,FALSE
2139,Friendly,1955-03-17,Spain,1,2,France,,TRUE
2140,Copa America,1955-03-23,Ecuador,1,5,Uruguay,,FALSE
2141,Copa America,1955-03-27,Argentina,6,1,Uruguay,,FALSE
2142,Copa America,1955-03-30,Chile,0,1,Argentina,,TRUE
2143,Friendly,1955-03-30,Germany,1,2,Italy,,TRUE
2144,Copa America,1955-03-30,Peru,2,1,Uruguay,,FALSE
2145,British Championship,1955-04-02,England,7,2,Scotland,,TRUE
2146,Friendly,1955-04-03,France,2,0,Sweden,,TRUE
2147,Friendly,1955-04-03,Netherlands,1,0,Belgium,,TRUE
2148,British Championship,1955-04-20,Northern Ireland,2,3,Wales,,TRUE
2149,Copa America,1955-04-25,Argentina,2,2,Peru,,FALSE
2150,Friendly,1955-05-01,Republic of Ireland,1,0,Netherlands,,TRUE
2151,International Cup,1955-05-01,Switzerland,2,3,Austria,,TRUE
2152,Friendly,1955-05-04,Scotland,3,0,Portugal,,TRUE
2153,Friendly,1955-05-15,Denmark,0,6,Hungary,,TRUE
2154,Friendly,1955-05-15,France,1,0,England,,TRUE
2155,Friendly,1955-05-18,Spain,1,1,England,,TRUE
2156,Friendly,1955-05-19,Netherlands,4,1,Switzerland,,TRUE
2157,Friendly,1955-05-22,Portugal,3,1,England,,TRUE
2158,Friendly,1955-05-28,Germany,2,1,Republic of Ireland,,TRUE
2159,Friendly,1955-05-28,Ghana,1,0,Nigeria,,TRUE
2160,Friendly,1955-05-29,Romania,2,2,Poland,,TRUE
2161,Friendly,1955-06-05,Belgium,1,3,Czechoslovakia,,TRUE
2162,Nordic Championship,1955-06-19,Denmark,2,1,Finland,,TRUE
2163,Friendly,1955-06-19,Switzerland,0,3,Spain,,TRUE
2164,Friendly,1955-06-26,Bulgaria,1,1,Poland,,TRUE
2165,International Cup,1955-06-26,Yugoslavia,0,0,Switzerland,,TRUE
2166,Friendly,1955-07-03,Iceland,0,4,Denmark,,TRUE
2167,Friendly,1955-07-24,Costa Rica,9,1,Guatemala,,TRUE
2168,Friendly,1955-07-31,Guatemala,3,1,Costa Rica,,TRUE
2169,CCCF Championship,1955-08-14,Costa Rica,3,2,Aruba,,FALSE
2170,CCCF Championship,1955-08-16,Costa Rica,6,0,Cuba,,FALSE
2171,CCCF Championship,1955-08-19,Costa Rica,4,0,El Salvador,,FALSE
2172,CCCF Championship,1955-08-21,Guatemala,0,2,Costa Rica,,FALSE
2173,Friendly,1955-08-21,Russia,3,2,Germany,,TRUE
2174,CCCF Championship,1955-08-24,Costa Rica,2,1,Curaçao,,FALSE
2175,Friendly,1955-08-25,Iceland,3,2,United States,,TRUE
2176,CCCF Championship,1955-08-28,Honduras,1,2,Costa Rica,,TRUE
2177,Friendly,1955-09-03,Australia,0,3,South Africa,,TRUE
2178,Friendly,1955-09-10,Australia,0,2,South Africa,,TRUE
2179,Friendly,1955-09-11,Finland,1,3,Poland,,TRUE
2180,Nordic Championship,1955-09-11,Norway,1,1,Denmark,,TRUE
2181,Friendly,1955-09-17,Australia,0,8,South Africa,,TRUE
2182,International Cup,1955-09-17,Switzerland,4,5,Hungary,,TRUE
2183,Copa Bernardo O'Higgins,1955-09-18,Brazil,1,1,Chile,,TRUE
2184,Copa Bernardo O'Higgins,1955-09-20,Brazil,2,1,Chile,,TRUE
2185,Friendly,1955-09-24,Australia,0,6,South Africa,,TRUE
2186,Friendly,1955-09-25,Czechoslovakia,5,2,Belgium,,TRUE
2187,Friendly,1955-09-25,Yugoslavia,3,1,Germany,,TRUE
2188,Friendly,1955-09-28,Romania,1,0,Belgium,,TRUE
2189,Friendly,1955-10-01,Australia,1,4,South Africa,,TRUE
2190,Friendly,1955-10-02,Denmark,1,5,England,,TRUE
2191,Friendly,1955-10-09,Japan,0,0,Myanmar,,TRUE
2192,Friendly,1955-10-09,Switzerland,1,2,France,,TRUE
2193,Nordic Championship,1955-10-16,Denmark,3,3,Sweden,,TRUE
2194,Friendly,1955-10-16,Netherlands,2,2,Belgium,,TRUE
2195,British Championship,1955-10-22,Wales,2,1,England,,TRUE
2196,Friendly,1955-10-23,Russia,2,2,France,,TRUE
2197,Friendly,1955-10-30,Ghana,7,0,Nigeria,,TRUE
2198,British Championship,1955-11-02,England,3,0,Northern Ireland,,TRUE
2199,Friendly,1955-11-06,Netherlands,3,0,Norway,,TRUE
2200,British Championship,1955-11-09,Scotland,2,0,Wales,,TRUE
2201,Friendly,1955-11-11,France,1,1,Yugoslavia,,TRUE
2202,Copa Oswaldo Cruz,1955-11-13,Brazil,3,0,Paraguay,,TRUE
2203,Friendly,1955-11-16,Germany,2,0,Norway,,TRUE
2204,Friendly,1955-11-16,Saarland,1,2,Netherlands,,TRUE
2205,Copa Oswaldo Cruz,1955-11-17,Brazil,3,3,Paraguay,,TRUE
2206,Friendly,1955-11-20,Portugal,2,6,Sweden,,TRUE
2207,Friendly,1955-11-23,Wales,1,2,Austria,,TRUE
2208,Friendly,1955-11-27,Republic of Ireland,2,2,Spain,,TRUE
2209,Friendly,1955-11-30,England,4,1,Spain,,TRUE
2210,Friendly,1955-12-18,Italy,2,1,Germany,,TRUE
2211,Friendly,1955-12-18,Turkey,3,1,Portugal,,TRUE
2212,Friendly,1955-12-23,Egypt,0,4,Portugal,,TRUE
2213,Friendly,1955-12-25,Belgium,2,1,France,,TRUE
2214,Copa America,1956-01-21,Uruguay,4,2,Paraguay,,TRUE
2215,Copa America,1956-01-22,Argentina,2,1,Peru,,FALSE
2216,Copa America,1956-01-24,Brazil,1,4,Chile,,FALSE
2217,Copa America,1956-01-28,Uruguay,2,0,Peru,,TRUE
2218,Copa America,1956-01-29,Argentina,2,0,Chile,,FALSE
2219,Copa America,1956-01-29,Brazil,0,0,Paraguay,,FALSE
2220,Copa America,1956-02-01,Argentina,1,0,Paraguay,,FALSE
2221,Copa America,1956-02-01,Brazil,2,1,Peru,,FALSE
2222,Copa America,1956-02-05,Argentina,0,1,Brazil,,FALSE
2223,Copa America,1956-02-06,Uruguay,2,1,Chile,,TRUE
2224,Copa America,1956-02-10,Uruguay,0,0,Brazil,,TRUE
2225,Friendly,1956-02-15,Italy,2,0,France,,TRUE
2226,Copa America,1956-02-15,Uruguay,1,0,Argentina,,TRUE
2227,AFC Asian Cup qualification,1956-02-25,Philippines,0,2,South Korea,,TRUE
2228,Pan American Championship,1956-02-26,Mexico,1,1,Costa Rica,,TRUE
2229,Pan American Championship,1956-02-28,Argentina,0,0,Peru,,FALSE
2230,Pan American Championship,1956-03-01,Brazil,2,1,Chile,,FALSE
2231,Pan American Championship,1956-03-04,Mexico,0,2,Peru,,TRUE
2232,Pan American Championship,1956-03-06,Argentina,4,3,Costa Rica,,FALSE
2233,Pan American Championship,1956-03-06,Brazil,1,0,Peru,,FALSE
2234,Pan American Championship,1956-03-08,Chile,1,2,Costa Rica,,FALSE
2235,Pan American Championship,1956-03-08,Mexico,1,2,Brazil,,TRUE
2236,Pan American Championship,1956-03-11,Argentina,3,0,Chile,,FALSE
2237,Friendly,1956-03-11,Belgium,1,3,Switzerland,,TRUE
2238,Pan American Championship,1956-03-13,Brazil,7,1,Costa Rica,,FALSE
2239,Pan American Championship,1956-03-13,Mexico,0,0,Argentina,,TRUE
2240,Friendly,1956-03-14,Germany,1,2,Netherlands,,TRUE
2241,Pan American Championship,1956-03-17,Costa Rica,4,2,Peru,,FALSE
2242,Pan American Championship,1956-03-18,Argentina,2,2,Brazil,,FALSE
2243,Friendly,1956-03-25,France,3,1,Austria,,TRUE
2244,Friendly,1956-03-25,Portugal,3,1,Turkey,,TRUE
2245,Friendly,1956-04-08,Belgium,0,1,Netherlands,,TRUE
2246,Friendly,1956-04-08,Portugal,0,1,Brazil,,TRUE
2247,Friendly,1956-04-11,Switzerland,1,1,Brazil,,TRUE
2248,British Championship,1956-04-11,Wales,1,1,Northern Ireland,,TRUE
2249,British Championship,1956-04-14,Scotland,1,1,England,,TRUE
2250,Friendly,1956-04-15,Austria,2,3,Brazil,,TRUE
2251,Friendly,1956-04-21,Czechoslovakia,0,0,Brazil,,TRUE
2252,AFC Asian Cup qualification,1956-04-21,South Korea,3,0,Philippines,,TRUE
2253,Friendly,1956-04-25,Italy,3,0,Brazil,,TRUE
2254,Friendly,1956-05-01,Saarland,1,1,Switzerland,,TRUE
2255,Friendly,1956-05-01,Turkey,0,1,Brazil,,TRUE
2256,Friendly,1956-05-09,England,4,2,Brazil,,TRUE
2257,Friendly,1956-05-10,Netherlands,1,4,Republic of Ireland,,TRUE
2258,International Cup,1956-05-10,Switzerland,1,6,Czechoslovakia,,TRUE
2259,Friendly,1956-05-16,Sweden,0,0,England,,TRUE
2260,Friendly,1956-05-20,Finland,1,5,England,,TRUE
2261,Friendly,1956-05-23,Russia,5,1,Denmark,,TRUE
2262,Friendly,1956-05-26,Germany,1,3,England,,TRUE
2263,Friendly,1956-05-30,Norway,0,0,Poland,,TRUE
2264,Friendly,1956-06-03,Belgium,5,4,Hungary,,TRUE
2265,Friendly,1956-06-03,Portugal,3,1,Spain,,TRUE
2266,Friendly,1956-06-06,Netherlands,3,2,Saarland,,TRUE
2267,Friendly,1956-06-09,Portugal,2,2,Hungary,,TRUE
2268,Copa Oswaldo Cruz,1956-06-12,Paraguay,0,2,Brazil,,TRUE
2269,Friendly,1956-06-13,Norway,1,3,Germany,,TRUE
2270,Copa Oswaldo Cruz,1956-06-17,Paraguay,2,5,Brazil,,TRUE
2271,Friendly,1956-06-24,Argentina,1,0,Italy,,TRUE
2272,Atlantic Cup,1956-06-24,Brazil,2,0,Uruguay,,TRUE
2273,Nordic Championship,1956-06-24,Denmark,2,3,Norway,,TRUE
2274,Friendly,1956-06-30,Sweden,2,2,Germany,,TRUE
2275,Friendly,1956-07-01,Brazil,2,0,Italy,,TRUE
2276,Friendly,1956-07-01,Denmark,2,5,Russia,,TRUE
2277,Atlantic Cup,1956-07-01,Uruguay,1,2,Argentina,,TRUE
2278,Atlantic Cup,1956-07-08,Argentina,0,0,Brazil,,TRUE
2279,Friendly,1956-07-15,Hungary,4,1,Poland,,TRUE
2280,Friendly,1956-07-15,Paraguay,2,2,Uruguay,,TRUE
2281,Friendly,1956-07-22,Poland,0,2,German DR,,TRUE
2282,Friendly,1956-08-05,Brazil,0,1,Czechoslovakia,,TRUE
2283,Friendly,1956-08-08,Brazil,4,1,Czechoslovakia,,TRUE
2284,Friendly,1956-08-12,Uruguay,2,1,Czechoslovakia,,TRUE
2285,Copa Chevallier Boutell,1956-08-15,Paraguay,0,1,Argentina,,TRUE
2286,Friendly,1956-08-19,Argentina,1,0,Czechoslovakia,,TRUE
2287,AFC Asian Cup qualification,1956-08-26,South Korea,2,0,Taiwan,,TRUE
2288,Friendly,1956-08-26,Poland,1,2,Bulgaria,,TRUE
2289,AFC Asian Cup,1956-09-06,Hong Kong,2,2,South Korea,,TRUE
2290,AFC Asian Cup,1956-09-08,Israel,1,2,South Korea,,FALSE
2291,Friendly,1956-09-12,Croatia,5,2,Indonesia,,TRUE
2292,Friendly,1956-09-15,Germany,1,2,Russia,,TRUE
2293,AFC Asian Cup,1956-09-15,South Korea,5,3,Vietnam Republic,,FALSE
2294,Friendly,1956-09-15,Switzerland,2,3,Netherlands,,TRUE
2295,Nordic Championship,1956-09-16,Finland,0,4,Denmark,,TRUE
2296,Friendly,1956-09-17,Hong Kong,2,4,South Korea,,TRUE
2297,FIFA World Cup qualification,1956-10-03,Republic of Ireland,2,1,Denmark,,TRUE
2298,British Championship,1956-10-06,Northern Ireland,1,1,England,,TRUE
2299,Friendly,1956-10-07,France,1,2,Hungary,,TRUE
2300,Friendly,1956-10-10,Uruguay,1,2,Argentina,,TRUE
2301,Friendly,1956-10-14,Belgium,2,3,Netherlands,,TRUE
2302,Friendly,1956-10-20,Togo,1,1,Ghana,,TRUE
2303,British Championship,1956-10-20,Wales,2,2,Scotland,,TRUE
2304,Friendly,1956-10-21,France,2,1,Russia,,TRUE
2305,Nordic Championship,1956-10-21,Sweden,1,1,Denmark,,TRUE
2306,Friendly,1956-10-27,Nigeria,3,0,Ghana,,TRUE
2307,Friendly,1956-10-28,Poland,5,3,Norway,,TRUE
2308,Friendly,1956-10-31,South Korea,1,0,United States,,TRUE
2309,Friendly,1956-11-04,Denmark,2,2,Netherlands,,TRUE
2310,Friendly,1956-11-04,Poland,5,0,Finland,,TRUE
2311,Friendly,1956-11-10,Philippines,0,4,United States,,TRUE
2312,FIFA World Cup qualification,1956-11-11,France,6,3,Belgium,,TRUE
2313,International Cup,1956-11-11,Switzerland,1,1,Italy,,TRUE
2314,Friendly,1956-11-14,Argentina,2,2,Uruguay,,TRUE
2315,British Championship,1956-11-14,England,3,1,Wales,,TRUE
2316,Friendly,1956-11-16,Indonesia,7,5,United States,,TRUE
2317,Friendly,1956-11-16,Turkey,1,1,Poland,,TRUE
2318,Friendly,1956-11-21,Germany,1,3,Switzerland,,TRUE
2319,Friendly,1956-11-25,Republic of Ireland,3,0,Germany,,TRUE
2320,Friendly,1956-11-28,England,3,0,Yugoslavia,,TRUE
2321,FIFA World Cup qualification,1956-12-05,England,5,2,Denmark,,TRUE
2322,Friendly,1956-12-12,Australia,1,7,India,,TRUE
2323,Friendly,1956-12-16,Ghana,4,3,Sierra Leone,,TRUE
2324,Friendly,1956-12-23,Germany,4,1,Belgium,,TRUE
2325,FIFA World Cup qualification,1957-01-16,Portugal,1,1,Northern Ireland,,TRUE
2326,Friendly,1957-01-30,Spain,5,1,Netherlands,,TRUE
2327,FIFA World Cup qualification,1957-02-10,Guatemala,2,6,Costa Rica,,TRUE
2328,FIFA World Cup qualification,1957-02-17,Costa Rica,3,1,Guatemala,,TRUE
2329,FIFA World Cup qualification,1957-03-03,Costa Rica,4,0,Curaçao,,TRUE
2330,Copa America,1957-03-07,Ecuador,2,5,Uruguay,,FALSE
2331,Friendly,1957-03-10,Austria,2,3,Germany,,TRUE
2332,Copa America,1957-03-10,Peru,2,1,Ecuador,,TRUE
2333,FIFA World Cup qualification,1957-03-10,Spain,2,2,Switzerland,,TRUE
2334,Copa America,1957-03-13,Argentina,8,2,Colombia,,FALSE
2335,Copa America,1957-03-13,Brazil,4,2,Chile,,FALSE
2336,Copa America,1957-03-17,Argentina,3,0,Ecuador,,FALSE
2337,Copa America,1957-03-17,Colombia,1,0,Uruguay,,FALSE
2338,Copa America,1957-03-20,Argentina,4,0,Uruguay,,FALSE
2339,FIFA World Cup qualification,1957-03-20,Netherlands,4,1,Luxembourg,,TRUE
2340,Copa America,1957-03-21,Brazil,7,1,Ecuador,,FALSE
2341,Copa America,1957-03-23,Peru,3,5,Uruguay,,TRUE
2342,Copa America,1957-03-24,Brazil,9,0,Colombia,,FALSE
2343,Copa America,1957-03-24,Chile,2,2,Ecuador,,FALSE
2344,Copa America,1957-03-28,Argentina,6,2,Chile,,FALSE
2345,Copa America,1957-03-28,Brazil,2,3,Uruguay,,FALSE
2346,Friendly,1957-03-31,Belgium,0,5,Spain,,TRUE
2347,Copa America,1957-03-31,Peru,0,1,Brazil,,TRUE
2348,Copa America,1957-04-01,Chile,0,2,Uruguay,,FALSE
2349,Copa America,1957-04-01,Colombia,4,1,Ecuador,,FALSE
2350,Copa America,1957-04-03,Argentina,3,0,Brazil,,FALSE
2351,Friendly,1957-04-03,Netherlands,1,2,Germany,,TRUE
2352,British Championship,1957-04-06,England,2,1,Scotland,,TRUE
2353,Copa America,1957-04-06,Peru,2,1,Argentina,,TRUE
2354,FIFA World Cup qualification,1957-04-07,Mexico,6,0,United States,,TRUE
2355,Friendly,1957-04-09,Peru,1,4,Argentina,,TRUE
2356,British Championship,1957-04-10,Northern Ireland,0,0,Wales,,TRUE
2357,FIFA World Cup qualification,1957-04-13,Peru,1,1,Brazil,,TRUE
2358,International Cup,1957-04-14,Austria,4,0,Switzerland,,TRUE
2359,FIFA World Cup qualification,1957-04-21,Brazil,1,0,Peru,,TRUE
2360,Friendly,1957-04-28,Netherlands,1,1,Belgium,,TRUE
2361,FIFA World Cup qualification,1957-04-28,United States,2,7,Mexico,,TRUE
2362,FIFA World Cup qualification,1957-05-01,Northern Ireland,3,0,Portugal,,TRUE
2363,FIFA World Cup qualification,1957-05-01,Wales,1,0,Czechoslovakia,,TRUE
2364,FIFA World Cup qualification,1957-05-08,England,5,1,Republic of Ireland,,TRUE
2365,FIFA World Cup qualification,1957-05-08,Scotland,4,2,Spain,,TRUE
2366,FIFA World Cup qualification,1957-05-15,Denmark,1,4,England,,TRUE
2367,FIFA World Cup qualification,1957-05-19,German DR,2,1,Wales,,TRUE
2368,FIFA World Cup qualification,1957-05-19,Republic of Ireland,1,1,England,,TRUE
2369,Friendly,1957-05-19,Poland,0,1,Turkey,,TRUE
2370,FIFA World Cup qualification,1957-05-19,Switzerland,1,2,Scotland,,TRUE
2371,Friendly,1957-05-22,Germany,1,3,Scotland,,TRUE
2372,Copa Newton,1957-05-23,Uruguay,0,0,Argentina,,TRUE
2373,FIFA World Cup qualification,1957-05-26,Austria,3,2,Netherlands,,TRUE
2374,Friendly,1957-05-26,Belgium,1,0,Romania,,TRUE
2375,FIFA World Cup qualification,1957-05-26,Czechoslovakia,2,0,Wales,,TRUE
2376,Friendly,1957-05-26,Denmark,1,1,Bulgaria,,TRUE
2377,FIFA World Cup qualification,1957-05-26,Portugal,3,0,Italy,,TRUE
2378,FIFA World Cup qualification,1957-05-26,Spain,4,1,Scotland,,TRUE
2379,FIFA World Cup qualification,1957-06-02,France,8,0,Iceland,,TRUE
2380,Friendly,1957-06-02,Tunisia,4,2,Libya,,TRUE
2381,Copa Lipton,1957-06-05,Argentina,1,1,Uruguay,,TRUE
2382,FIFA World Cup qualification,1957-06-05,Belgium,8,3,Iceland,,TRUE
2383,Friendly,1957-06-11,Brazil,2,1,Portugal,,TRUE
2384,Friendly,1957-06-16,Brazil,3,0,Portugal,,TRUE
2385,FIFA World Cup qualification,1957-06-16,Colombia,1,1,Uruguay,,TRUE
2386,Friendly,1957-06-18,Finland,2,0,Denmark,,TRUE
2387,Friendly,1957-06-19,Denmark,2,0,Norway,,FALSE
2388,FIFA World Cup qualification,1957-06-22,Canada,5,1,United States,,TRUE
2389,FIFA World Cup qualification,1957-06-23,Russia,3,0,Poland,,FALSE
2390,Nordic Championship,1957-06-30,Denmark,1,2,Sweden,,TRUE
2391,FIFA World Cup qualification,1957-06-30,Mexico,3,0,Canada,,TRUE
