ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
375,1986,1986-06-05,Group stage,South Korea,1,1,Bulgaria,,FALSE
376,1986,1986-06-06,Group stage,Hungary,2,0,Canada,,FALSE
377,1986,1986-06-06,Group stage,Brazil,1,0,Algeria,,FALSE
378,1986,1986-06-06,Group stage,England,0,0,Morocco,,FALSE
379,1986,1986-06-07,Group stage,Northern Ireland,1,2,Spain,,FALSE
380,1986,1986-06-07,Group stage,Mexico,1,1,Paraguay,,TRUE
381,1986,1986-06-07,Group stage,Poland,1,0,Portugal,,FALSE
382,1986,1986-06-08,Group stage,Iraq,1,2,Belgium,,FALSE
383,1986,1986-06-08,Group stage,Germany,2,1,Scotland,,FALSE
384,1986,1986-06-08,Group stage,Denmark,6,1,Uruguay,,FALSE
385,1986,1986-06-09,Group stage,Hungary,0,3,France,,FALSE
386,1986,1986-06-09,Group stage,Russia,2,0,Canada,,FALSE
387,1986,1986-06-10,Group stage,South Korea,2,3,Italy,,FALSE
388,1986,1986-06-10,Group stage,Argentina,2,0,Bulgaria,,FALSE
389,1986,1986-06-11,Group stage,Paraguay,2,2,Belgium,,FALSE
390,1986,1986-06-11,Group stage,Mexico,1,0,Iraq,,TRUE
391,1986,1986-06-11,Group stage,Portugal,1,3,Morocco,,FALSE
392,1986,1986-06-11,Group stage,England,3,0,Poland,,FALSE
393,1986,1986-06-12,Group stage,Northern Ireland,0,3,Brazil,,FALSE
394,1986,1986-06-12,Group stage,Algeria,0,3,Spain,,FALSE
395,1986,1986-06-13,Group stage,Scotland,0,0,Uruguay,,FALSE
396,1986,1986-06-13,Group stage,Denmark,2,0,Germany,,FALSE
397,1986,1986-06-15,Round of 16,Mexico,2,0,Bulgaria,,TRUE
398,1986,1986-06-15,Round of 16,Russia,3,4,Belgium,Extra time,FALSE
399,1986,1986-06-16,Round of 16,Brazil,4,0,Poland,,FALSE
400,1986,1986-06-16,Round of 16,Argentina,1,0,Uruguay,,FALSE
401,1986,1986-06-17,Round of 16,Italy,0,2,France,,FALSE
402,1986,1986-06-17,Round of 16,Morocco,0,1,Germany,,FALSE
403,1986,1986-06-18,Round of 16,England,3,0,Paraguay,,FALSE
404,1986,1986-06-18,Round of 16,Denmark,1,5,Spain,,FALSE
405,1986,1986-06-21,Quarter-finals,Brazil,1,1,France,France win on penalties (3 - 4),FALSE
406,1986,1986-06-21,Quarter-finals,Mexico,0,0,Germany,Germany win on penalties (4 - 1),TRUE
407,1986,1986-06-22,Quarter-finals,Argentina,2,1,England,,FALSE
408,1986,1986-06-22,Quarter-finals,Spain,1,1,Belgium,Belgium win on penalties (4 - 5),FALSE
409,1986,1986-06-25,Semi-finals,France,0,2,Germany,,FALSE
410,1986,1986-06-25,Semi-finals,Argentina,2,0,Belgium,,FALSE
411,1986,1986-06-28,Third place,France,4,2,Belgium,Extra time,FALSE
412,1986,1986-06-29,Final,Argentina,3,2,Germany,,FALSE
413,1990,1990-06-08,Group stage,Argentina,0,1,Cameroon,,FALSE
414,1990,1990-06-09,Group stage,Russia,0,2,Romania,,FALSE
415,1990,1990-06-09,Group stage,United Arab Emirates,0,2,Colombia,,FALSE
416,1990,1990-06-09,Group stage,Italy,1,0,Austria,,TRUE
417,1990,1990-06-10,Group stage,United States,1,5,Czechoslovakia,,FALSE
418,1990,1990-06-10,Group stage,Brazil,2,1,Sweden,,FALSE
419,1990,1990-06-10,Group stage,Germany,4,1,Yugoslavia,,FALSE
420,1990,1990-06-11,Group stage,Costa Rica,1,0,Scotland,,FALSE
421,1990,1990-06-11,Group stage,England,1,1,Republic of Ireland,,FALSE
422,1990,1990-06-12,Group stage,Belgium,2,0,South Korea,,FALSE
423,1990,1990-06-12,Group stage,Netherlands,1,1,Egypt,,FALSE
424,1990,1990-06-13,Group stage,Uruguay,0,0,Spain,,FALSE
425,1990,1990-06-13,Group stage,Argentina,2,0,Russia,,FALSE
426,1990,1990-06-14,Group stage,Cameroon,2,1,Romania,,FALSE
427,1990,1990-06-14,Group stage,Yugoslavia,1,0,Colombia,,FALSE
428,1990,1990-06-14,Group stage,Italy,1,0,United States,,TRUE
429,1990,1990-06-15,Group stage,Austria,0,1,Czechoslovakia,,FALSE
430,1990,1990-06-15,Group stage,Germany,5,1,United Arab Emirates,,FALSE
431,1990,1990-06-16,Group stage,Brazil,1,0,Costa Rica,,FALSE
432,1990,1990-06-16,Group stage,Sweden,1,2,Scotland,,FALSE
433,1990,1990-06-16,Group stage,England,0,0,Netherlands,,FALSE
434,1990,1990-06-17,Group stage,Republic of Ireland,0,0,Egypt,,FALSE
435,1990,1990-06-17,Group stage,South Korea,1,3,Spain,,FALSE
436,1990,1990-06-17,Group stage,Belgium,3,1,Uruguay,,FALSE
437,1990,1990-06-18,Group stage,Argentina,1,1,Romania,,FALSE
438,1990,1990-06-18,Group stage,Cameroon,0,4,Russia,,FALSE
439,1990,1990-06-19,Group stage,Germany,1,1,Colombia,,FALSE
440,1990,1990-06-19,Group stage,Yugoslavia,4,1,United Arab Emirates,,FALSE
441,1990,1990-06-19,Group stage,Italy,2,0,Czechoslovakia,,TRUE
442,1990,1990-06-19,Group stage,Austria,2,1,United States,,FALSE
443,1990,1990-06-20,Group stage,Brazil,1,0,Scotland,,FALSE
444,1990,1990-06-20,Group stage,Sweden,1,2,Costa Rica,,FALSE
445,1990,1990-06-21,Group stage,South Korea,0,1,Uruguay,,FALSE
446,1990,1990-06-21,Group stage,Belgium,1,2,Spain,,FALSE
447,1990,1990-06-21,Group stage,Republic of Ireland,1,1,Netherlands,,FALSE
448,1990,1990-06-21,Group stage,England,1,0,Egypt,,FALSE
449,1990,1990-06-23,Round of 16,Cameroon,2,1,Colombia,Extra time,FALSE
450,1990,1990-06-23,Round of 16,Czechoslovakia,4,1,Costa Rica,,FALSE
451,1990,1990-06-24,Round of 16,Brazil,0,1,Argentina,,FALSE
452,1990,1990-06-24,Round of 16,Germany,2,1,Netherlands,,FALSE
453,1990,1990-06-25,Round of 16,Republic of Ireland,0,0,Romania,Republic of Ireland win on penalties (5 - 4),FALSE
454,1990,1990-06-25,Round of 16,Italy,2,0,Uruguay,,TRUE
455,1990,1990-06-26,Round of 16,Spain,1,2,Yugoslavia,Extra time,FALSE
456,1990,1990-06-26,Round of 16,England,1,0,Belgium,Extra time,FALSE
457,1990,1990-06-30,Quarter-finals,Yugoslavia,0,0,Argentina,Argentina win on penalties (2 - 3),FALSE
458,1990,1990-06-30,Quarter-finals,Italy,1,0,Republic of Ireland,,TRUE
459,1990,1990-07-01,Quarter-finals,Germany,1,0,Czechoslovakia,,FALSE
460,1990,1990-07-01,Quarter-finals,England,3,2,Cameroon,Extra time,FALSE
461,1990,1990-07-03,Semi-finals,Italy,1,1,Argentina,Argentina win on penalties (3 - 4),TRUE
462,1990,1990-07-04,Semi-finals,Germany,1,1,England,Germany win on penalties (4 - 3),FALSE
463,1990,1990-07-07,Third place,Italy,2,1,England,,TRUE
464,1990,1990-07-08,Final,Germany,1,0,Argentina,,FALSE
465,1994,1994-06-17,Group stage,Germany,1,0,Bolivia,,FALSE
466,1994,1994-06-17,Group stage,Spain,2,2,South Korea,,FALSE
467,1994,1994-06-18,Group stage,United States,1,1,Switzerland,,TRUE
468,1994,1994-06-18,Group stage,Italy,0,1,Republic of Ireland,,FALSE
469,1994,1994-06-18,Group stage,Colombia,1,3,Romania,,FALSE
470,1994,1994-06-19,Group stage,Belgium,1,0,Morocco,,FALSE
471,1994,1994-06-19,Group stage,Norway,1,0,Mexico,,FALSE
472,1994,1994-06-19,Group stage,Cameroon,2,2,Sweden,,FALSE
473,1994,1994-06-20,Group stage,Brazil,2,0,Russia,,FALSE
474,1994,1994-06-20,Group stage,Netherlands,2,1,Saudi Arabia,,FALSE
475,1994,1994-06-21,Group stage,Argentina,4,0,Greece,,FALSE
476,1994,1994-06-21,Group stage,Germany,1,1,Spain,,FALSE
477,1994,1994-06-21,Group stage,Nigeria,3,0,Bulgaria,,FALSE
478,1994,1994-06-22,Group stage,Romania,1,4,Switzerland,,FALSE
479,1994,1994-06-22,Group stage,United States,2,1,Colombia,,TRUE
480,1994,1994-06-23,Group stage,Italy,1,0,Norway,,FALSE
481,1994,1994-06-23,Group stage,South Korea,0,0,Bolivia,,FALSE
482,1994,1994-06-24,Group stage,Mexico,2,1,Republic of Ireland,,FALSE
483,1994,1994-06-24,Group stage,Brazil,3,0,Cameroon,,FALSE
484,1994,1994-06-24,Group stage,Sweden,3,1,Russia,,FALSE
485,1994,1994-06-25,Group stage,Belgium,1,0,Netherlands,,FALSE
486,1994,1994-06-25,Group stage,Saudi Arabia,2,1,Morocco,,FALSE
487,1994,1994-06-25,Group stage,Argentina,2,1,Nigeria,,FALSE
488,1994,1994-06-26,Group stage,Bulgaria,4,0,Greece,,FALSE
489,1994,1994-06-26,Group stage,United States,0,1,Romania,,TRUE
490,1994,1994-06-26,Group stage,Switzerland,0,2,Colombia,,FALSE
491,1994,1994-06-27,Group stage,Germany,3,2,South Korea,,FALSE
492,1994,1994-06-27,Group stage,Bolivia,1,3,Spain,,FALSE
493,1994,1994-06-28,Group stage,Republic of Ireland,0,0,Norway,,FALSE
494,1994,1994-06-28,Group stage,Italy,1,1,Mexico,,FALSE
495,1994,1994-06-28,Group stage,Brazil,1,1,Sweden,,FALSE
496,1994,1994-06-28,Group stage,Russia,6,1,Cameroon,,FALSE
497,1994,1994-06-29,Group stage,Morocco,1,2,Netherlands,,FALSE
498,1994,1994-06-29,Group stage,Belgium,0,1,Saudi Arabia,,FALSE
499,1994,1994-06-30,Group stage,Greece,0,2,Nigeria,,FALSE
500,1994,1994-06-30,Group stage,Argentina,0,2,Bulgaria,,FALSE
501,1994,1994-07-02,Round of 16,Germany,3,2,Belgium,,FALSE
502,1994,1994-07-02,Round of 16,Spain,3,0,Switzerland,,FALSE
503,1994,1994-07-03,Round of 16,Saudi Arabia,1,3,Sweden,,FALSE
504,1994,1994-07-03,Round of 16,Romania,3,2,Argentina,,FALSE
505,1994,1994-07-04,Round of 16,Netherlands,2,0,Republic of Ireland,,FALSE
506,1994,1994-07-04,Round of 16,United States,0,1,Brazil,,TRUE
507,1994,1994-07-05,Round of 16,Nigeria,1,2,Italy,Extra time,FALSE
508,1994,1994-07-05,Round of 16,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3),FALSE
509,1994,1994-07-09,Quarter-finals,Italy,2,1,Spain,,FALSE
510,1994,1994-07-09,Quarter-finals,Netherlands,2,3,Brazil,,FALSE
511,1994,1994-07-10,Quarter-finals,Bulgaria,2,1,Germany,,FALSE
512,1994,1994-07-10,Quarter-finals,Romania,2,2,Sweden,Sweden win on penalties (4 - 5),FALSE
513,1994,1994-07-13,Semi-finals,Bulgaria,1,2,Italy,,FALSE
514,1994,1994-07-13,Semi-finals,Sweden,0,1,Brazil,,FALSE
515,1994,1994-07-16,Third place,Sweden,4,0,Bulgaria,,FALSE
516,1994,1994-07-17,Final,Brazil,0,0,Italy,Brazil win on penalties (3 - 2),FALSE
517,1998,1998-06-10,Group stage,Brazil,2,1,Scotland,,FALSE
518,1998,1998-06-10,Group stage,Morocco,2,2,Norway,,FALSE
519,1998,1998-06-11,Group stage,Italy,2,2,Chile,,FALSE
520,1998,1998-06-11,Group stage,Cameroon,1,1,Austria,,FALSE
521,1998,1998-06-12,Group stage,Paraguay,0,0,Bulgaria,,FALSE
522,1998,1998-06-12,Group stage,Saudi Arabia,0,1,Denmark,,FALSE
523,1998,1998-06-12,Group stage,France,3,0,South Africa,,TRUE
524,1998,1998-06-13,Group stage,Spain,2,3,Nigeria,,FALSE
525,1998,1998-06-13,Group stage,South Korea,1,3,Mexico,,FALSE
526,1998,1998-06-13,Group stage,Netherlands,0,0,Belgium,,FALSE
527,1998,1998-06-14,Group stage,Argentina,1,0,Japan,,FALSE
528,1998,1998-06-14,Group stage,Yugoslavia,1,0,Iran,,FALSE
529,1998,1998-06-14,Group stage,Jamaica,1,3,Croatia,,FALSE
530,1998,1998-06-15,Group stage,England,2,0,Tunisia,,FALSE
531,1998,1998-06-15,Group stage,Romania,1,0,Colombia,,FALSE
532,1998,1998-06-15,Group stage,Germany,2,0,United States,,FALSE
533,1998,1998-06-16,Group stage,Scotland,1,1,Norway,,FALSE
534,1998,1998-06-16,Group stage,Brazil,3,0,Morocco,,FALSE
535,1998,1998-06-17,Group stage,Chile,1,1,Austria,,FALSE
536,1998,1998-06-17,Group stage,Italy,3,0,Cameroon,,FALSE
537,1998,1998-06-18,Group stage,South Africa,1,1,Denmark,,FALSE
538,1998,1998-06-18,Group stage,France,4,0,Saudi Arabia,,TRUE
539,1998,1998-06-19,Group stage,Nigeria,1,0,Bulgaria,,FALSE
540,1998,1998-06-19,Group stage,Spain,0,0,Paraguay,,FALSE
541,1998,1998-06-20,Group stage,Japan,0,1,Croatia,,FALSE
542,1998,1998-06-20,Group stage,Belgium,2,2,Mexico,,FALSE
543,1998,1998-06-20,Group stage,Netherlands,5,0,South Korea,,FALSE
544,1998,1998-06-21,Group stage,Germany,2,2,Yugoslavia,,FALSE
545,1998,1998-06-21,Group stage,Argentina,5,0,Jamaica,,FALSE
546,1998,1998-06-21,Group stage,United States,1,2,Iran,,FALSE
547,1998,1998-06-22,Group stage,Colombia,1,0,Tunisia,,FALSE
548,1998,1998-06-22,Group stage,Romania,2,1,England,,FALSE
549,1998,1998-06-23,Group stage,Italy,2,1,Austria,,FALSE
550,1998,1998-06-23,Group stage,Chile,1,1,Cameroon,,FALSE
551,1998,1998-06-23,Group stage,Scotland,0,3,Morocco,,FALSE
552,1998,1998-06-23,Group stage,Brazil,1,2,Norway,,FALSE
553,1998,1998-06-24,Group stage,France,2,1,Denmark,,TRUE
554,1998,1998-06-24,Group stage,South Africa,2,2,Saudi Arabia,,FALSE
555,1998,1998-06-24,Group stage,Spain,6,1,Bulgaria,,FALSE
556,1998,1998-06-24,Group stage,Nigeria,1,3,Paraguay,,FALSE
557,1998,1998-06-25,Group stage,Belgium,1,1,South Korea,,FALSE
558,1998,1998-06-25,Group stage,Netherlands,2,2,Mexico,,FALSE
559,1998,1998-06-25,Group stage,Germany,2,0,Iran,,FALSE
560,1998,1998-06-25,Group stage,United States,0,1,Yugoslavia,,FALSE
561,1998,1998-06-26,Group stage,Japan,1,2,Jamaica,,FALSE
562,1998,1998-06-26,Group stage,Argentina,1,0,Croatia,,FALSE
563,1998,1998-06-26,Group stage,Romania,1,1,Tunisia,,FALSE
564,1998,1998-06-26,Group stage,Colombia,0,2,England,,FALSE
565,1998,1998-06-27,Round of 16,Italy,1,0,Norway,,FALSE
566,1998,1998-06-27,Round of 16,Brazil,4,1,Chile,,FALSE
567,1998,1998-06-28,Round of 16,France,1,0,Paraguay,Extra time,TRUE
568,1998,1998-06-28,Round of 16,Nigeria,1,4,Denmark,,FALSE
569,1998,1998-06-29,Round of 16,Germany,2,1,Mexico,,FALSE
570,1998,1998-06-29,Round of 16,Netherlands,2,1,Yugoslavia,,FALSE
571,1998,1998-06-30,Round of 16,Romania,0,1,Croatia,,FALSE
572,1998,1998-06-30,Round of 16,Argentina,2,2,England,Argentina win on penalties (4 - 3),FALSE
573,1998,1998-07-03,Quarter-finals,France,0,0,Italy,France win on penalties (3 - 4),TRUE
574,1998,1998-07-03,Quarter-finals,Brazil,3,2,Denmark,,FALSE
575,1998,1998-07-04,Quarter-finals,Netherlands,2,1,Argentina,,FALSE
576,1998,1998-07-04,Quarter-finals,Germany,0,3,Croatia,,FALSE
577,1998,1998-07-07,Semi-finals,Brazil,1,1,Netherlands,Brazil win on penalties (4 - 2),FALSE
578,1998,1998-07-08,Semi-finals,France,2,1,Croatia,,TRUE
579,1998,1998-07-11,Third place,Netherlands,1,2,Croatia,,FALSE
580,1998,1998-07-12,Final,France,3,0,Brazil,,TRUE
581,2002,2002-05-31,Group stage,France,0,1,Senegal,,FALSE
582,2002,2002-06-01,Group stage,Republic of Ireland,1,1,Cameroon,,FALSE
583,2002,2002-06-01,Group stage,Uruguay,1,2,Denmark,,FALSE
584,2002,2002-06-01,Group stage,Germany,8,0,Saudi Arabia,,FALSE
585,2002,2002-06-02,Group stage,Argentina,1,0,Nigeria,,FALSE
586,2002,2002-06-02,Group stage,Paraguay,2,2,South Africa,,FALSE
587,2002,2002-06-02,Group stage,England,1,1,Sweden,,FALSE
588,2002,2002-06-02,Group stage,Spain,3,1,Slovenia,,FALSE
589,2002,2002-06-03,Group stage,Croatia,0,1,Mexico,,FALSE
590,2002,2002-06-03,Group stage,Brazil,2,1,Turkey,,FALSE
591,2002,2002-06-03,Group stage,Italy,2,0,Ecuador,,FALSE
592,2002,2002-06-04,Group stage,China,0,2,Costa Rica,,FALSE
593,2002,2002-06-04,Group stage,Japan,2,2,Belgium,,TRUE
594,2002,2002-06-04,Group stage,South Korea,2,0,Poland,,TRUE
595,2002,2002-06-05,Group stage,Russia,2,0,Tunisia,,FALSE
596,2002,2002-06-05,Group stage,United States,3,2,Portugal,,FALSE
597,2002,2002-06-05,Group stage,Germany,1,1,Republic of Ireland,,FALSE
598,2002,2002-06-06,Group stage,Denmark,1,1,Senegal,,FALSE
599,2002,2002-06-06,Group stage,Cameroon,1,0,Saudi Arabia,,FALSE
600,2002,2002-06-06,Group stage,France,0,0,Uruguay,,FALSE
601,2002,2002-06-07,Group stage,Sweden,2,1,Nigeria,,FALSE
602,2002,2002-06-07,Group stage,Spain,3,1,Paraguay,,FALSE
603,2002,2002-06-07,Group stage,Argentina,0,1,England,,FALSE
604,2002,2002-06-08,Group stage,South Africa,1,0,Slovenia,,FALSE
605,2002,2002-06-08,Group stage,Italy,1,2,Croatia,,FALSE
606,2002,2002-06-08,Group stage,Brazil,4,0,China,,FALSE
607,2002,2002-06-09,Group stage,Mexico,2,1,Ecuador,,FALSE
608,2002,2002-06-09,Group stage,Costa Rica,1,1,Turkey,,FALSE
609,2002,2002-06-09,Group stage,Japan,1,0,Russia,,TRUE
610,2002,2002-06-10,Group stage,South Korea,1,1,United States,,TRUE
611,2002,2002-06-10,Group stage,Tunisia,1,1,Belgium,,FALSE
612,2002,2002-06-10,Group stage,Portugal,4,0,Poland,,FALSE
613,2002,2002-06-11,Group stage,Denmark,2,0,France,,FALSE
614,2002,2002-06-11,Group stage,Senegal,3,3,Uruguay,,FALSE
615,2002,2002-06-11,Group stage,Saudi Arabia,0,3,Republic of Ireland,,FALSE
616,2002,2002-06-11,Group stage,Cameroon,0,2,Germany,,FALSE
617,2002,2002-06-12,Group stage,Sweden,1,1,Argentina,,FALSE
618,2002,2002-06-12,Group stage,Nigeria,0,0,England,,FALSE
619,2002,2002-06-12,Group stage,Slovenia,1,3,Paraguay,,FALSE
620,2002,2002-06-12,Group stage,South Africa,2,3,Spain,,FALSE
621,2002,2002-06-13,Group stage,Costa Rica,2,5,Brazil,,FALSE
622,2002,2002-06-13,Group stage,Turkey,3,0,China,,FALSE
623,2002,2002-06-13,Group stage,Ecuador,1,0,Croatia,,FALSE
624,2002,2002-06-13,Group stage,Mexico,1,1,Italy,,FALSE
625,2002,2002-06-14,Group stage,Japan,2,0,Tunisia,,TRUE
626,2002,2002-06-14,Group stage,Belgium,3,2,Russia,,FALSE
627,2002,2002-06-14,Group stage,South Korea,1,0,Portugal,,TRUE
628,2002,2002-06-14,Group stage,Poland,3,1,United States,,FALSE
629,2002,2002-06-15,Round of 16,Germany,1,0,Paraguay,,FALSE
630,2002,2002-06-15,Round of 16,Denmark,0,3,England,,FALSE
631,2002,2002-06-16,Round of 16,Sweden,1,2,Senegal,Golden goal,FALSE
632,2002,2002-06-16,Round of 16,Spain,1,1,Republic of Ireland,Spain win on penalties (3 - 2),FALSE
633,2002,2002-06-17,Round of 16,Mexico,0,2,United States,,FALSE
634,2002,2002-06-17,Round of 16,Brazil,2,0,Belgium,,FALSE
635,2002,2002-06-18,Round of 16,Japan,0,1,Turkey,,TRUE
636,2002,2002-06-18,Round of 16,South Korea,2,1,Italy,Golden goal,TRUE
637,2002,2002-06-21,Quarter-finals,England,1,2,Brazil,,FALSE
638,2002,2002-06-21,Quarter-finals,Germany,1,0,United States,,FALSE
639,2002,2002-06-22,Quarter-finals,South Korea,0,0,Spain,South Korea win on penalties (3 - 5),TRUE
640,2002,2002-06-22,Quarter-finals,Senegal,0,1,Turkey,Golden goal,FALSE
641,2002,2002-06-25,Semi-finals,South Korea,0,1,Germany,,TRUE
642,2002,2002-06-26,Semi-finals,Brazil,1,0,Turkey,,FALSE
643,2002,2002-06-29,Third place,South Korea,2,3,Turkey,,TRUE
644,2002,2002-06-30,Final,Germany,0,2,Brazil,,FALSE
645,2006,2006-06-09,Group stage,Germany,4,2,Costa Rica,,TRUE
646,2006,2006-06-09,Group stage,Poland,0,2,Ecuador,,FALSE
647,2006,2006-06-10,Group stage,England,1,0,Paraguay,,FALSE
648,2006,2006-06-10,Group stage,Trinidad and Tobago,0,0,Sweden,,FALSE
649,2006,2006-06-10,Group stage,Argentina,2,1,Ivory Coast,,FALSE
650,2006,2006-06-11,Group stage,Serbia,0,1,Netherlands,,FALSE
651,2006,2006-06-11,Group stage,Mexico,3,1,Iran,,FALSE
652,2006,2006-06-11,Group stage,Angola,0,1,Portugal,,FALSE
653,2006,2006-06-12,Group stage,Australia,3,1,Japan,,FALSE
654,2006,2006-06-12,Group stage,United States,0,3,Czech Republic,,FALSE
655,2006,2006-06-12,Group stage,Italy,2,0,Ghana,,FALSE
656,2006,2006-06-13,Group stage,South Korea,2,1,Togo,,FALSE
657,2006,2006-06-13,Group stage,France,0,0,Switzerland,,FALSE
658,2006,2006-06-13,Group stage,Brazil,1,0,Croatia,,FALSE
659,2006,2006-06-14,Group stage,Spain,4,0,Ukraine,,FALSE
660,2006,2006-06-14,Group stage,Tunisia,2,2,Saudi Arabia,,FALSE
661,2006,2006-06-14,Group stage,Germany,1,0,Poland,,TRUE
662,2006,2006-06-15,Group stage,Ecuador,3,0,Costa Rica,,FALSE
663,2006,2006-06-15,Group stage,England,2,0,Trinidad and Tobago,,FALSE
664,2006,2006-06-15,Group stage,Sweden,1,0,Paraguay,,FALSE
665,2006,2006-06-16,Group stage,Argentina,6,0,Serbia,,FALSE
666,2006,2006-06-16,Group stage,Netherlands,2,1,Ivory Coast,,FALSE
667,2006,2006-06-16,Group stage,Mexico,0,0,Angola,,FALSE
668,2006,2006-06-17,Group stage,Portugal,2,0,Iran,,FALSE
669,2006,2006-06-17,Group stage,Czech Republic,0,2,Ghana,,FALSE
670,2006,2006-06-17,Group stage,Italy,1,1,United States,,FALSE
671,2006,2006-06-18,Group stage,Japan,0,0,Croatia,,FALSE
672,2006,2006-06-18,Group stage,Brazil,2,0,Australia,,FALSE
673,2006,2006-06-18,Group stage,France,1,1,South Korea,,FALSE
674,2006,2006-06-19,Group stage,Togo,0,2,Switzerland,,FALSE
675,2006,2006-06-19,Group stage,Saudi Arabia,0,4,Ukraine,,FALSE
676,2006,2006-06-19,Group stage,Spain,3,1,Tunisia,,FALSE
677,2006,2006-06-20,Group stage,Germany,3,0,Ecuador,,TRUE
678,2006,2006-06-20,Group stage,Costa Rica,1,2,Poland,,FALSE
679,2006,2006-06-20,Group stage,Sweden,2,2,England,,FALSE
680,2006,2006-06-20,Group stage,Paraguay,2,0,Trinidad and Tobago,,FALSE
681,2006,2006-06-21,Group stage,Iran,1,1,Angola,,FALSE
682,2006,2006-06-21,Group stage,Portugal,2,1,Mexico,,FALSE
683,2006,2006-06-21,Group stage,Netherlands,0,0,Argentina,,FALSE
684,2006,2006-06-21,Group stage,Ivory Coast,3,2,Serbia,,FALSE
685,2006,2006-06-22,Group stage,Czech Republic,0,2,Italy,,FALSE
686,2006,2006-06-22,Group stage,Ghana,2,1,United States,,FALSE
687,2006,2006-06-22,Group stage,Japan,1,4,Brazil,,FALSE
688,2006,2006-06-22,Group stage,Croatia,2,2,Australia,,FALSE
689,2006,2006-06-23,Group stage,Ukraine,1,0,Tunisia,,FALSE
690,2006,2006-06-23,Group stage,Saudi Arabia,0,1,Spain,,FALSE
691,2006,2006-06-23,Group stage,Togo,0,2,France,,FALSE
692,2006,2006-06-23,Group stage,Switzerland,2,0,South Korea,,FALSE
693,2006,2006-06-24,Round of 16,Germany,2,0,Sweden,,TRUE
694,2006,2006-06-24,Round of 16,Argentina,2,1,Mexico,Extra time,FALSE
695,2006,2006-06-25,Round of 16,England,1,0,Ecuador,,FALSE
696,2006,2006-06-25,Round of 16,Portugal,1,0,Netherlands,,FALSE
697,2006,2006-06-26,Round of 16,Italy,1,0,Australia,,FALSE
698,2006,2006-06-26,Round of 16,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3),FALSE
699,2006,2006-06-27,Round of 16,Brazil,3,0,Ghana,,FALSE
700,2006,2006-06-27,Round of 16,Spain,1,3,France,,FALSE
701,2006,2006-06-30,Quarter-finals,Germany,1,1,Argentina,Germany win on penalties (4 - 2),TRUE
702,2006,2006-06-30,Quarter-finals,Italy,3,0,Ukraine,,FALSE
703,2006,2006-07-01,Quarter-finals,England,0,0,Portugal,Portugal win on penalties (1 - 3),FALSE
704,2006,2006-07-01,Quarter-finals,Brazil,0,1,France,,FALSE
705,2006,2006-07-04,Semi-finals,Germany,0,2,Italy,Extra time,TRUE
706,2006,2006-07-05,Semi-finals,Portugal,0,1,France,,FALSE
707,2006,2006-07-08,Third place,Germany,3,1,Portugal,,TRUE
708,2006,2006-07-09,Final,Italy,1,1,France,Italy win on penalties (5 - 3),FALSE
709,2010,2010-06-11,Group stage,South Africa,1,1,Mexico,,TRUE
710,2010,2010-06-11,Group stage,Uruguay,0,0,France,,FALSE
711,2010,2010-06-12,Group stage,South Korea,2,0,Greece,,FALSE
712,2010,2010-06-12,Group stage,Argentina,1,0,Nigeria,,FALSE
713,2010,2010-06-12,Group stage,England,1,1,United States,,FALSE
714,2010,2010-06-13,Group stage,Algeria,0,1,Slovenia,,FALSE
715,2010,2010-06-13,Group stage,Serbia,0,1,Ghana,,FALSE
716,2010,2010-06-13,Group stage,Germany,4,0,Australia,,FALSE
717,2010,2010-06-14,Group stage,Netherlands,2,0,Denmark,,FALSE
718,2010,2010-06-14,Group stage,Japan,1,0,Cameroon,,FALSE
719,2010,2010-06-14,Group stage,Italy,1,1,Paraguay,,FALSE
720,2010,2010-06-15,Group stage,New Zealand,1,1,Slovakia,,FALSE
721,2010,2010-06-15,Group stage,Ivory Coast,0,0,Portugal,,FALSE
722,2010,2010-06-15,Group stage,Brazil,2,1,North Korea,,FALSE
723,2010,2010-06-16,Group stage,Honduras,0,1,Chile,,FALSE
724,2010,2010-06-16,Group stage,Spain,0,1,Switzerland,,FALSE
725,2010,2010-06-16,Group stage,South Africa,0,3,Uruguay,,TRUE
726,2010,2010-06-17,Group stage,Argentina,4,1,South Korea,,FALSE
727,2010,2010-06-17,Group stage,Greece,2,1,Nigeria,,FALSE
728,2010,2010-06-17,Group stage,France,0,2,Mexico,,FALSE
729,2010,2010-06-18,Group stage,Germany,0,1,Serbia,,FALSE
730,2010,2010-06-18,Group stage,Slovenia,2,2,United States,,FALSE
731,2010,2010-06-18,Group stage,England,0,0,Algeria,,FALSE
732,2010,2010-06-19,Group stage,Netherlands,1,0,Japan,,FALSE
733,2010,2010-06-19,Group stage,Ghana,1,1,Australia,,FALSE
734,2010,2010-06-19,Group stage,Cameroon,1,2,Denmark,,FALSE
735,2010,2010-06-20,Group stage,Slovakia,0,2,Paraguay,,FALSE
736,2010,2010-06-20,Group stage,Italy,1,1,New Zealand,,FALSE
737,2010,2010-06-20,Group stage,Brazil,3,1,Ivory Coast,,FALSE
738,2010,2010-06-21,Group stage,Portugal,7,0,North Korea,,FALSE
